Comment,Designator,Footprint,LCSC
"100nF","C1,C4,C6,C8,C9,C10,C13","Capacitor_SMD:C_0402_1005Metric","C1525"
"1µF","C2,C11","Capacitor_SMD:C_0402_1005Metric","C52923"
"15pF","C3,C7,C12,C14","Capacitor_SMD:C_0402_1005Metric","C1548"
"10µF","C5,C15,C16,C17","Capacitor_SMD:C_0603_1608Metric","C19702"
"47346-0001","J1","MOLEX_473460001:MOLEX_47346-0001","C132560"
"Conn_02x03_Odd_Even","J2","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical",""
"Conn_01x12","J3,J4,J5","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"10KΩ","R1,R2","Resistor_SMD:R_0402_1005Metric","C25744"
"470Ω","R3","Resistor_SMD:R_0402_1005Metric","C25117"
"2.2KΩ","R4,R5","Resistor_SMD:R_0402_1005Metric","C25879"
"TS-1187A-B-A-B","S1","TS-1187A-B-A-B:SW_TS-1187A-B-A-B","C318884"
"SW_SPDT","SW1","Button_Switch_SMD:SW_SPDT_PCM12","C963206"
"STM32G431CBU6","U1","STM32G431CBU6:STM32G431CBU6","C529356"
"USBLC6-2SC6","U2","Package_TO_SOT_SMD:SOT-23-6","C7519"
"TPS73633DBV","U3","Package_TO_SOT_SMD:SOT-23-5","C28038"
"Crystal_Small","Y1","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"Crystal_GND24_Small","Y2","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9006"